"","X","sex","age","desexed","purebred","gaze_follow","training_score","aggression_score","fear_score","separation_score","excitability_score","attachment_score","miscellaneous_score","ostensive","ostensive_binary","nonostensive","nonostensive_binary","os_best"
"1",1,1,6.7,1,2,4,2.125,1.05263157894737,1.23529411764706,0,2.16666666666667,2.33333333333333,0.962962962962963,0.75,1,0.75,1,0
"2",2,2,0.8,1,2,3,2.75,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.333333333333333,0,0.666666666666667,1,1
"3",3,1,6.8,1,2,3,2.875,0.230769230769231,0.166666666666667,0,3,1.5,0.72,0.5,0,0.625,1,1
"4",4,2,5.6,2,1,4,2.42857142857143,0.16,0.222222222222222,0.25,1.8,2,0.481481481481481,0.5,0,0.375,0,0
"5",5,1,12.7,1,2,4,2.28571428571429,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.777777777777778,1,0.125,0,0
"6",6,1,4.3,1,2,5,2.75,1.05263157894737,1.5,0,3.5,2.16666666666667,1.44,0.5,0,0.444444444444444,0,0
"7",7,1,4.1,1,2,3,2.625,0.0434782608695652,0.277777777777778,0.25,1.5,1.16666666666667,0.653846153846154,0.5,0,0.5,0,0
"8",8,2,8.3,1,2,3,2,0.222222222222222,0.764705882352941,0,2.66666666666667,1.83333333333333,1.26923076923077,0.521274190562416,0,0.504054415609776,0,0
"9",9,2,8.5,1,2,4,1.71428571428571,0.777777777777778,0.529411764705882,0.5,2.16666666666667,1.16666666666667,1.65384615384615,0.5,0,0.666666666666667,1,1
"10",10,2,5.7,1,2,4,2,1.15384615384615,1.625,1.57142857142857,2.5,2.33333333333333,1.12,0.636363636363636,1,0.5,0,0
"11",11,1,12.8,1,2,3,1.625,0.592592592592593,1.41176470588235,0.25,2.6,1.83333333333333,0.777777777777778,0.625,1,0.5,0,0
"12",12,2,3.4,1,1,3,2.25,0.923076923076923,0.733333333333333,0.25,2.16666666666667,2.33333333333333,1.26923076923077,0.5,0,0.25,0,0
"13",13,2,11.5,1,2,4,2.25,0.269230769230769,1.38888888888889,0,1.66666666666667,1,1.40740740740741,0.25,0,0.5,0,1
"14",14,2,5.2,2,1,4,2.875,0.961538461538462,0.388888888888889,0.75,3.16666666666667,2.83333333333333,0.666666666666667,0.875,1,0.875,1,0
"15",15,2,9,1,2,4,2.125,0.307692307692308,0.888888888888889,0.125,2,1.16666666666667,0.444444444444444,0.625,1,0.5,0,0
"16",16,1,1.3,1,1,4,2.25,0.48,0.764705882352941,1.6,2.5,2.66666666666667,1.80952380952381,0.5,0,0.444444444444444,0,0
"17",17,2,4.6,1,1,4,2.625,0.0476190476190476,0.875,0,2,2.5,0.703703703703704,0.5,0,0.75,1,1
"18",18,2,2.8,1,1,3,2.375,0.185185185185185,0.470588235294118,0.5,3,1.16666666666667,0.925925925925926,0.6,1,0.5,0,0
"19",19,2,1.2,1,1,4,2.625,0.0869565217391304,0.5,1.25,2.83333333333333,3,1.51851851851852,0.5,0,0.5,0,0
"20",20,1,1.5,1,1,3,2,0,0.823529411764706,0,1.66666666666667,1,0.55,0.75,1,0.75,1,0
"21",21,2,11.7,1,2,4,2.75,0.185185185185185,1.27777777777778,0.375,2.5,2.33333333333333,0.407407407407407,0.521274190562416,0,0.504054415609776,0,0
